"""","01 農林 水産業 ","06 鉱業 ","11 飲食料品 ","15 繊維製品 ","16 パルプ ・紙・ 木製品","20 化学製品 ","21 石油・ 石炭製品 ","22 プラスチッ ク・ゴム ","25 窯業・ 土石製品 ","26 鉄鋼 ","27 非鉄金属 ","28 金属製品 ","29 はん用機械 ","30 生産用機械 ","31 業務用機械 ","32 電子部品 ","33 電気機械 ","34 情報・ 通信機器 ","35 輸送機械 ","39 その他の 製造工業 製品","41 建設 ","46 電力・ ガス・ 熱供給","47 水道 ","48 廃棄物処理 ","51 商業 ","53 金融・保険 ","55 不動産 ","57 運輸・郵便 ","59 情報通信 ","61 公務 ","63 教育・研究 ","64 医療・福祉 ","65 その他の 非営利団体 サービス","66 対事業所 サービス ","67 対個人 サービス ","68 事務用品 ","69 分類不明 ","行和 ","感応度 係数 "
"41 建設","0.009048826204999944","0.01412441073957835","0.00726111692247196","0.011053078076451207","0.010455656241213848","0.014163603328564204","0.010588388444322071","0.01277510937294215","0.016615804841421004","0.01581043997205686","0.014541463977100308","0.01368689544452168","0.009962586396112971","0.010022106472361647","0.010115231939318277","0.01649706298559337","0.012447037308745548","0.01085665892726508","0.010458197279595844","0.009509787929231498","1.0073154424276944","0.03549776117144787","0.04429271811802702","0.008634449423520171","0.009223646883949495","0.006551285698616486","0.03266970614081028","0.016599022250734796","0.010590239361169613","0.016384888067768034","0.00974802597720435","0.008380327582958848","0.006696768911695371","0.006224201424449144","0.008887345592378405","0.01071030488145595","0.013826021563959527","1.4922256182817075","0.6066327625397095"
"46 電力・ガス・熱供給","0.024356308686740376","0.04080279805771857","0.03783614911553461","0.06555580365152427","0.03796295945187162","0.07106351860330258","0.03552539393287114","0.05962915932185888","0.08404198896493698","0.06371938355766736","0.08741276936425958","0.05324192237477055","0.044637153685052285","0.038675687942161294","0.05148402960100947","0.07077789029031416","0.05644347379582426","0.04127032083784262","0.04512579319003607","0.04038815198014281","0.02889008552210303","1.159318136253842","0.07483512472235654","0.06372926830384897","0.04006263138808707","0.012726895192700729","0.008973404861411143","0.02393689759317213","0.023680868159165855","0.02103487436365052","0.029649602690739015","0.030344679358505638","0.016813364060697257","0.023189203844700013","0.05094393507305604","0.04179030113643645","0.07572022458937822","2.7755901535192904","1.1283574694597938"
"47 水道","0.0031346904117464667","0.0067708138549701855","0.005860073779456448","0.006135178551323509","0.0040690392076717","0.007659533662835324","0.0054224211291340595","0.005551419804870846","0.004962116107301222","0.005233093446293469","0.005967106771222691","0.004383883858869478","0.004565486198943458","0.004272930411028395","0.004404126606262492","0.006020833453573708","0.00527113751763217","0.004711834517185629","0.0048738613400001575","0.00512392471888047","0.003686961095626315","0.005524989877222286","1.0822475142905064","0.014416352093068211","0.005282284139648522","0.003542105722697624","0.0012371524565899363","0.007825269568711813","0.007215666045007319","0.0058669818903708615","0.011493289045145435","0.00944754347488142","0.004844415465584779","0.0032210130786697773","0.01349461940671252","0.004934553767565849","0.0186289815165805","1.3073031982837915","0.531456464046698"
"48 廃棄物処理","0.0016009282595424556","0.0035878441730160535","0.00197902912105216","0.0030374169490808957","0.002078305944796192","0.004999843094131371","0.0026518318510735293","0.0025649888891896284","0.00562835850200331","0.002385061974512308","0.0029763533620924525","0.0020234831806937156","0.0026087886594050123","0.0017399403730255782","0.002351465449767088","0.003140271998429203","0.002792044308368026","0.002127284619646224","0.0034511946343251582","0.0022441059363774844","0.0034799506912268326","0.012377336511079614","0.0033061311480850923","1.0013556062145366","0.002749753895475032","0.003698016872859093","0.000687567195004264","0.0038406551527179907","0.007222093593032908","0.02541959079761034","0.004633511658374483","0.00492871484338614","0.001526216313067617","0.0017535082825630905","0.015659185200961975","0.0024960869956892257","0.012718480938933335","1.163820947585131","0.47312678986715206"
"51 商業","0.11137727086346808","0.07943111543278372","0.17877747957157872","0.18226478780085525","0.2009876475123274","0.13847705037091085","0.06424195844319676","0.16209322854359937","0.0885669704302361","0.09350864306632746","0.19033652572906365","0.1399423222391898","0.12774203601071563","0.10992939896945639","0.12772349478948772","0.12736866582803338","0.15669575917350706","0.1105053479916161","0.15111610076731452","0.1319480200145852","0.12094623282343508","0.07552698807222237","0.06665568109445306","0.0412649940450827","1.0424341083084785","0.029598710350898037","0.012629461761939702","0.07160721257609202","0.03802658486535675","0.0356857146570476","0.0364318562548877","0.07933403280310695","0.07594960740395389","0.07288404867411478","0.12082177477330751","0.37597857704573817","0.19453297753496862","5.163342386593335","2.0990476356546335"
"53 金融・保険","0.019370128618639435","0.07147619640429956","0.02257444375393649","0.04375339436749074","0.031325799070611726","0.033770833369812105","0.052815921170721286","0.023626121162914713","0.03556452790503236","0.036085804202805806","0.035036314778982836","0.03536029912964166","0.024763888204217606","0.027946300702125393","0.03113201029299178","0.027336694218216197","0.029722136176540084","0.021498176782965905","0.03381573519820713","0.03540013641173732","0.034494976763185706","0.06837302446457937","0.021189705688471994","0.019548289001833592","0.03075216570563495","1.06738129322182","0.09811353797402532","0.04485710671616849","0.020350747696698222","0.051875287746797595","0.01035152262611011","0.02006275060129619","0.07698031468465345","0.02482748292442093","0.022697496100506444","0.032216495024156126","0.06487889148493768","2.381325950347186","0.9680776968767318"
"55 不動産","0.011902748545734082","0.02738348192070427","0.015345893993005828","0.018500696159650082","0.01852067864378828","0.018228471151504475","0.020278135953780255","0.018218282866310387","0.01830078882053641","0.016262425100446287","0.017147542477830215","0.021374310497057687","0.014742271743448419","0.015047824256062221","0.016254733117080988","0.015622324886967723","0.0213611993448168","0.012727319697287633","0.014808303513103784","0.02003708978426738","0.01745629813519823","0.02796836248784525","0.012699760085431284","0.01080450218941551","0.040384687087327835","0.02661197078166817","1.027325968004668","0.04364783753179283","0.025860150851256508","0.00853865010384043","0.0129131100912376","0.029681448693345547","0.030885433829478767","0.01771021983945277","0.028303009696601662","0.024961571777458055","0.022118332916158317","1.75993583657556","0.7154646893569916"
"57 運輸・郵便","0.1311088696492315","0.46551536373074726","0.12346521960510407","0.12193616712116606","0.1405276489071884","0.1574961917501278","0.34234966901548447","0.11189464724469549","0.20582185370977013","0.2014257508220485","0.13895025288902363","0.15285311579234867","0.10152123206680937","0.1011649717286279","0.11184552351037905","0.11013734514141939","0.11716892366365333","0.08465007910911983","0.1172458711469072","0.30957190161974274","0.13341278390704842","0.3161209952908895","0.08603038191526793","0.11346256246765539","0.11354020601316914","0.07217755091310747","0.019388086831892075","1.2319584755701019","0.06758861780758821","0.076455352372191","0.05892728055108792","0.06717178749189293","0.08613804028189088","0.06258526745873422","0.09911879150626399","0.20851261762961773","0.228169102204099","6.387408498436092","2.596665822784718"
"59 情報通信","0.02239633137167213","0.031869877338775436","0.03150598337764203","0.036029329902378726","0.0353575218815346","0.04026259122468174","0.02459184392530993","0.03657480745628744","0.03142035115301611","0.026204815671840943","0.03872999306598372","0.03580979054711303","0.037005461290170495","0.03570929032704298","0.03496169566789323","0.045550559385334824","0.043052115720822244","0.06201853905807661","0.033459864367090954","0.03342989920279469","0.03584422585740129","0.047320848702685984","0.08869181051235259","0.026383664163101943","0.06796575366823329","0.09289601421941429","0.01695645494133218","0.03786579176370661","1.2808278745095065","0.048452083615358056","0.03877167407014908","0.036910236981966583","0.09993192597323683","0.05899119010424685","0.045121445159950355","0.04334584200250285","0.06544441644933516","2.8476619146299424","1.1576567195249423"
"61 公務","0.0015551342896147132","0.000876729414466911","0.0007926994349854684","0.0006208717409575492","0.0008424712415215479","0.0007208515870250978","0.0006536641120234747","0.000727989009751795","0.0010260916113064337","0.0007615507695317676","0.001234756772179206","0.000702605604320385","0.0017325756106530575","0.001238410612628498","0.0008777764333616617","0.0007212813908891937","0.0007953937304418523","0.0007271798878509111","0.0011772626280118132","0.000677184729280038","0.0016011924016846155","0.000965272026441595","0.0012699228577014157","0.00037013242495250066","0.0008743287347061225","0.0006745912457713899","0.0005509349374493111","0.000920220000928571","0.0010999271039560253","1.0003249867558284","0.0010797527958491795","0.0006145270218395274","0.0006617241826804045","0.0010712245659456896","0.0005451785855629894","0.000865962397682579","0.07338362669950738","1.1053359853492892","0.44935096550554304"
"63 教育・研究","0.015214925325655335","0.009568091216396691","0.018051772958336584","0.04604963166407506","0.017931752728259184","0.10832417953153421","0.01005409789338802","0.06251541249200737","0.022685885337490445","0.022342681495318782","0.0589497871340001","0.025813236138159175","0.07027844492379684","0.0449568394428457","0.0772409286765868","0.12173967168893438","0.07199582647250655","0.10761191551028372","0.04183946306189005","0.029778543751651957","0.014227899271000863","0.0158376768046925","0.012374055766513318","0.006579211309632057","0.009029822298971783","0.006777241990405651","0.0021327339222667976","0.008976733652347673","0.030494253515624303","0.006120029023242729","1.0090164416343756","0.020564149199466277","0.008301295767774757","0.017361874674486986","0.008016997422743428","0.025784276003494606","0.04863121634524328","2.2331689960453995","0.9078476208235844"
"64 医療・福祉","0.000308957386743907","0.0005051360459442183","0.00020096144444911032","0.00017678226235666127","0.00020481663604613752","0.00021979519670037954","0.00037306926036915176","0.00016823433712954793","0.00025453544359985267","0.0002423449209523464","0.00020441079257980536","0.00020308444588951565","0.00017335238318037563","0.0001620125288086355","0.00016662875424891917","0.00017279573050145772","0.00017838142869511348","0.000160346366121314","0.00017603920410864444","0.00035225346943162987","0.00020100045933934868","0.00037759676104775407","0.0004143400495219134","0.00014703483525269455","0.00021802984411885672","0.00032003826428229416","0.00006601362662973925","0.0012405335815375128","0.0012006922291561237","0.00015325841044424817","0.00014653598832954946","1.0288046148510095","0.00021480845066562212","0.00015542608650668456","0.00020603683888223903","0.0002764443268439511","0.0016392798089528186","1.0403856224503776","0.4229467692562563"
